,fr,ru,ru_opusmt,ru_pred
10001,La peau des animaux est couverte de poils.,Кожа животных покрыта шерстью.,Кожа животных покрыта волосами.,Кожа животных покрыта волосами.
10002,Tu dois respecter le code de la route.,Ты должен соблюдать правила дорожного движения.,Ты должен соблюдать правила дорожного движения.,Ты должен соблюдать правила дорожного движения.
10003,Nous avons deux cerisiers dans notre jardin.,У нас в саду растут два вишнёвых дерева.,У нас в нашем саду два верблюда.,У нас есть два сириала в нашем саду.
10006,"De Tokyo et Kobe, laquelle est la plus grande ?","Что больше, Токио или Кобе?","В Токио и Кобе, кто самый большой?","Из Токио и Кобе, кто самый большой?"
10007,J'ai mis deux heures pour mémoriser cette phrase.,"У меня два часа ушло на то, чтобы запомнить эту фразу.","Я потратил два часа, чтобы запомнить это предложение.","Я отложил два часа, чтобы запомнить это предложение."
10008,Il était dans un état critique.,Он был в критическом состоянии.,Он был в критическом состоянии.,Он был в критическом состоянии.
10009,Où avez-vous mal ?,Где больно?,Где вам больно?,Где вы больны?
10012,Quelle chance de vous rencontrer ici.,Какая удача встретить Вас здесь!,Какая удача встретиться с вами здесь.,- Какая удача встретиться с вами здесь.
10013,Tom suggéra un autre projet à la commission.,Том комитету предложил другой план.,Том сделал еще один проект в комиссии.,Том задумал еще один проект в комиссии.
10014,Nick n'a pas besoin de venir à mon bureau.,Ник может не приходить в мой офис.,Нику не нужно приходить в мой офис.,Ник не должен приходить в мой кабинет.
10015,Tony parle anglais aussi bien que toi.,"Тони говорит по-английски так же хорошо, как ты.","Тони говорит как на английском, так и на тебе.",Тони говорит по-английски как и ты.
10016,J'étais obligé de lui dire la vérité.,Я был вынужден сказать ему правду.,Я должен был сказать ему правду.,Мне пришлось рассказать ему правду.
10018,C'étaient toutes des choses faites main.,Всё это были вещи ручной работы.,Все это было рукой.,Все это было рукой.
10019,Je reste pour quelques autres semaines.,Я останусь ещё на несколько недель.,Я останусь на несколько недель.,Я остаюсь на несколько недель.
10021,Je suis sûr que tout s'arrangera à la fin.,"Я уверен, что в конце концов всё образуется.","Я уверен, что все будет хорошо в конце.","Я уверен, что все будет хорошо."
10022,Peter est venu pendant ton absence.,В твоё отсутствие приходил Петер.,"Питер пришёл, пока тебя не было.","Питер приехал сюда, пока ты не был."
10023,J'ai un problème avec ma voiture.,У меня проблема с машиной.,У меня проблема с машиной.,У меня проблема с машиной.
10024,Combien y a-t-il d'arrêts depuis ici ?,Сколько остановок отсюда?,Сколько здесь остановок?,Сколько тут остановилось?
10025,"S'il continue de boire trop, il tombera malade tôt ou tard.","Если он и дальше будет злоупотреблять алкоголем, он рано или поздно заболеет.","Если он будет пить слишком много, он будет болеть рано или поздно.","Если он по-прежнему слишком много пить, он будет болеть рано или поздно."
10026,Je pense que les fantômes existent.,"Я думаю, что привидения существуют.","Думаю, призраки существуют.","Я думаю, что призраки существуют."
10028,Nous sommes à la maison aujourd'hui.,Мы сегодня дома.,Сегодня мы дома.,Сегодня мы дома.
10029,Nous sommes prêts à partir.,Мы готовы идти.,Мы готовы уехать.,Мы готовы идти.
10031,On y va ?,Пойдём?,Пошли?,Пошли?
10033,Qui crois-tu que je suis ?,Ты за кого меня принимаешь?,"Кто ты думаешь, что я?","Кого ты думаешь, что я?"
10035,Nous avons attrapé le voleur.,Мы поймали вора.,Мы поймали вор.,Мы поймали воровина.
10036,Pourquoi devrais-tu me suspecter ?,С какой стати тебе меня подозревать?,Почему ты должен меня подозревать?,Почему ты должен меня подозревать?
10037,J'y ai été une fois.,Я был там один раз.,Я был там один раз.,Я был там один раз.
10039,Le voleur est parti en courant.,Вор убежал.,Вор ушел.,Вор ушел в эфир.
10040,Nous serons à la maison aujourd'hui.,Сегодня мы будем дома.,Сегодня мы будем дома.,Сегодня мы будем дома.
10041,Quelle est la date d'aujourd'hui ?,Какое сегодня число?,Какая сегодня дата?,Каков день сегодня?
10042,Synchronisons nos montres.,Давайте сверим часы.,Синхронизировать наши часы.,Синхронизировать наши часы.
10044,Est-ce qu'il pourra venir demain ?,Он сможет прийти завтра?,Он может приехать завтра?,Он сможет завтра прийти?
10045,Personne ne vient jamais me voir à l'hôpital.,Меня никто никогда не навещает в больнице.,Никто не приедет ко мне в больницу.,Никто не приходит ко мне в больницу.
10046,Je te présenterai à mes parents.,Я представлю тебя своим родителям.,Я познакомлю тебя со своими родителями.,Я приношу тебя своим родителям.
10047,Le chauffeur de bus ne vit pas le piéton.,Водитель автобуса не увидел пешехода.,Водитель автобуса не живет на пешеходе.,С автобусом не живет пешеход.
10048,Pouvez-vous me donner ces livres ?,Вы можете мне дать эти книги?,Вы можете дать мне эти книги?,Вы можете отдать мне эти книги?
10049,C'est mon père.,Это мой отец.,Это мой отец.,Он мой отец.
10050,J'ai serré les dents.,Я сжал зубы.,Я сжег зубы.,Я завязал зубы.
10051,"À notre grande déception, le jeu fut annulé.","К нашему великому разочарованию, игра была отменена.","Мы разочарованы тем, что игра была отменена.","Мы разочарованы тем, что игра была отменена."
10052,Le séisme provoqua l'incendie.,Землетрясение вызвало пожар.,Землетрясение привело к пожару.,Землетрясение привело к пожарам.
10053,Savez-vous à qui est cette voiture ?,"Вы знаете, чья это машина?","Вы знаете, кто эта машина?","Вы знаете, кто эта машина?"
10054,Notre maison est sur le bord de la route.,Наш дом стоит у дороги.,Наш дом на борту дороги.,Наш дом на грани дороги.
10055,Pourquoi avez-vous fui ?,Почему вы убежали?,Почему вы сбежали?,Зачем ты сбежал?
